"U:0","U:1","U:2","epsilon","k","nut","p","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-1.0277,0.0024766,0,0.87894,0.014949,2.6293e-06,-0.062157,1,0,0.05,0,0.01
-1.0273,0.0026219,0,0.8616,0.015022,5.8728e-06,-0.062195,1,0.0001,0.05,0.0001,0.01
-1.0269,0.0027672,0,0.84427,0.015096,9.1162e-06,-0.062232,1,0.0002,0.05,0.0002,0.01
-1.0265,0.0029125,0,0.82694,0.015169,1.236e-05,-0.062269,1,0.0003,0.05,0.0003,0.01
-1.0261,0.0030578,0,0.80961,0.015243,1.5603e-05,-0.062306,1,0.0004,0.05,0.0004,0.01
-1.0257,0.0032031,0,0.79228,0.015317,1.8847e-05,-0.062343,1,0.0005,0.05,0.0005,0.01
-1.0253,0.0033484,0,0.77494,0.01539,2.209e-05,-0.06238,1,0.0006,0.05,0.0006,0.01
-1.0249,0.0034937,0,0.75761,0.015464,2.5333e-05,-0.062417,1,0.0007,0.05,0.0007,0.01
-1.0245,0.003639,0,0.74028,0.015537,2.8577e-05,-0.062454,1,0.0008,0.05,0.0008,0.01
-1.0241,0.0037843,0,0.72295,0.015611,3.182e-05,-0.062491,1,0.0009,0.05,0.0009,0.01
-1.0237,0.0039296,0,0.70562,0.015685,3.5064e-05,-0.062528,1,0.001,0.05,0.001,0.01
-1.0233,0.0040749,0,0.68828,0.015758,3.8307e-05,-0.062565,1,0.0011,0.05,0.0011,0.01
-1.0229,0.0042202,0,0.67095,0.015832,4.1551e-05,-0.062602,1,0.0012,0.05,0.0012,0.01
-1.0225,0.0043655,0,0.65362,0.015905,4.4794e-05,-0.062639,1,0.0013,0.05,0.0013,0.01
-1.0221,0.0045108,0,0.63629,0.015979,4.8038e-05,-0.062676,1,0.0014,0.05,0.0014,0.01
-1.0217,0.0046561,0,0.61895,0.016053,5.1281e-05,-0.062713,1,0.0015,0.05,0.0015,0.01
-1.0213,0.0048014,0,0.60162,0.016126,5.4525e-05,-0.06275,1,0.0016,0.05,0.0016,0.01
-1.0203,0.0049768,0,0.584,0.016256,5.8213e-05,-0.062812,1,0.0017,0.05,0.0017,0.01
-1.0183,0.0052124,0,0.56581,0.016499,6.2792e-05,-0.062922,1,0.0018,0.05,0.0018,0.01
-1.0163,0.0054481,0,0.54761,0.016742,6.737e-05,-0.063032,1,0.0019,0.05,0.0019,0.01
-1.0143,0.0056837,0,0.52941,0.016985,7.1949e-05,-0.063143,1,0.002,0.05,0.002,0.01
-1.0122,0.0059194,0,0.51122,0.017228,7.6528e-05,-0.063253,1,0.0021,0.05,0.0021,0.01
-1.0102,0.006155,0,0.49302,0.017471,8.1106e-05,-0.063363,1,0.0022,0.05,0.0022,0.01
-1.0082,0.0063907,0,0.47482,0.017714,8.5685e-05,-0.063474,1,0.0023,0.05,0.0023,0.01
-1.0062,0.0066264,0,0.45663,0.017957,9.0264e-05,-0.063584,1,0.0024,0.05,0.0024,0.01
-1.0042,0.006862,0,0.43843,0.0182,9.4842e-05,-0.063694,1,0.0025,0.05,0.0025,0.01
-1.0021,0.0070977,0,0.42023,0.018443,9.9421e-05,-0.063805,1,0.0026,0.05,0.0026,0.01
-1.0001,0.0073333,0,0.40204,0.018686,0.000104,-0.063915,1,0.0027,0.05,0.0027,0.01
-0.99809,0.007569,0,0.38384,0.018929,0.00010858,-0.064025,1,0.0028,0.05,0.0028,0.01
-0.99607,0.0078046,0,0.36564,0.019172,0.00011316,-0.064136,1,0.0029,0.05,0.0029,0.01
-0.99405,0.0080403,0,0.34745,0.019415,0.00011774,-0.064246,1,0.003,0.05,0.003,0.01
-0.99202,0.0082759,0,0.32925,0.019658,0.00012231,-0.064356,1,0.0031,0.05,0.0031,0.01
-0.99,0.0085116,0,0.31105,0.019901,0.00012689,-0.064467,1,0.0032,0.05,0.0032,0.01
-0.98798,0.0087472,0,0.29286,0.020144,0.00013147,-0.064577,1,0.0033,0.05,0.0033,0.01
-0.98505,0.0089324,0,0.28626,0.020414,0.00013592,-0.064736,1,0.0034,0.05,0.0034,0.01
-0.98167,0.0090923,0,0.28547,0.020698,0.0001403,-0.064918,1,0.0035,0.05,0.0035,0.01
-0.97829,0.0092522,0,0.28468,0.020982,0.00014468,-0.065101,1,0.0036,0.05,0.0036,0.01
-0.97491,0.0094121,0,0.28389,0.021267,0.00014907,-0.065284,1,0.0037,0.05,0.0037,0.01
-0.97152,0.0095719,0,0.2831,0.021551,0.00015345,-0.065467,1,0.0038,0.05,0.0038,0.01
-0.96814,0.0097318,0,0.28231,0.021835,0.00015783,-0.065649,1,0.0039,0.05,0.0039,0.01
-0.96476,0.0098917,0,0.28151,0.022119,0.00016221,-0.065832,1,0.004,0.05,0.004,0.01
-0.96138,0.010052,0,0.28072,0.022403,0.00016659,-0.066015,1,0.0041,0.05,0.0041,0.01
-0.958,0.010212,0,0.27993,0.022688,0.00017097,-0.066198,1,0.0042,0.05,0.0042,0.01
-0.95462,0.010371,0,0.27914,0.022972,0.00017536,-0.06638,1,0.0043,0.05,0.0043,0.01
-0.95123,0.010531,0,0.27835,0.023256,0.00017974,-0.066563,1,0.0044,0.05,0.0044,0.01
-0.94785,0.010691,0,0.27755,0.02354,0.00018412,-0.066746,1,0.0045,0.05,0.0045,0.01
-0.94447,0.010851,0,0.27676,0.023824,0.0001885,-0.066929,1,0.0046,0.05,0.0046,0.01
-0.94109,0.011011,0,0.27597,0.024109,0.00019288,-0.067111,1,0.0047,0.05,0.0047,0.01
-0.93771,0.011171,0,0.27518,0.024393,0.00019727,-0.067294,1,0.0048,0.05,0.0048,0.01
-0.93432,0.011331,0,0.27439,0.024677,0.00020165,-0.067477,1,0.0049,0.05,0.0049,0.01
-0.93094,0.011491,0,0.2736,0.024961,0.00020603,-0.067659,1,0.005,0.05,0.005,0.01
-0.92742,0.011603,0,0.27348,0.025143,0.00020929,-0.067908,1,0.0051,0.05,0.0051,0.01
-0.92389,0.011715,0,0.27337,0.025326,0.00021254,-0.068156,1,0.0052,0.05,0.0052,0.01
-0.92037,0.011828,0,0.27326,0.025508,0.0002158,-0.068404,1,0.0053,0.05,0.0053,0.01
-0.91685,0.01194,0,0.27315,0.02569,0.00021906,-0.068652,1,0.0054,0.05,0.0054,0.01
