"U:0","U:1","U:2","epsilon","k","nut","p","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.011483,-0.011549,0,0.0016455,0.00057133,0,0.37204,1,0,0,0,0
0.010873,-0.0112,0,0.0020832,0.00057923,3.4527e-08,0.37203,1,0.00014177,0.0001,0.0001,1e-05
0.010225,-0.010798,0,0.0025464,0.00058876,1.3446e-07,0.37202,1,0.00028355,0.0002,0.0002,2e-05
0.0095379,-0.010343,0,0.0030351,0.00059991,2.9979e-07,0.37201,1,0.00042532,0.0003,0.0003,3e-05
0.0088124,-0.0098344,0,0.0035493,0.00061269,5.3052e-07,0.372,1,0.0005671,0.0004,0.0004,4e-05
0.0080482,-0.0092724,0,0.0040891,0.0006271,8.2666e-07,0.37199,1,0.00070887,0.0005,0.0005,5e-05
0.0072455,-0.0086571,0,0.0046543,0.00064313,1.1882e-06,0.37198,1,0.00085065,0.0006,0.0006,6e-05
0.0064042,-0.0079885,0,0.005245,0.00066078,1.6151e-06,0.37196,1,0.00099242,0.0007,0.0007,7e-05
0.0055244,-0.0072665,0,0.0058613,0.00068006,2.1075e-06,0.37195,1,0.0011342,0.0008,0.0008,8e-05
0.004606,-0.0064913,0,0.006503,0.00070097,2.6652e-06,0.37194,1,0.001276,0.0009,0.0009,9e-05
0.003649,-0.0056627,0,0.0071703,0.0007235,3.2884e-06,0.37193,1,0.0014177,0.001,0.001,0.0001
0.0026534,-0.0047808,0,0.0078631,0.00074766,3.9769e-06,0.37192,1,0.0015595,0.0011,0.0011,0.00011
0.0016193,-0.0038456,0,0.0085814,0.00077344,4.7309e-06,0.3719,1,0.0017013,0.0012,0.0012,0.00012
0.00054659,-0.0028571,0,0.0093251,0.00080085,5.5502e-06,0.37189,1,0.0018431,0.0013,0.0013,0.00013
-0.00056468,-0.0018152,0,0.010094,0.00082988,6.435e-06,0.37188,1,0.0019848,0.0014,0.0014,0.00014
-0.0017145,-0.00072007,0,0.010889,0.00086054,7.3851e-06,0.37187,1,0.0021266,0.0015,0.0015,0.00015
-0.0029029,0.00042841,0,0.01171,0.00089282,8.4007e-06,0.37185,1,0.0022684,0.0016,0.0016,0.00016
-0.0048343,0.0024286,0,0.013333,0.00095733,9.1201e-06,0.37184,1,0.0024102,0.0017,0.0017,0.00017
-0.008292,0.0061458,0,0.016595,0.0010865,9.1647e-06,0.37183,1,0.0025519,0.0018,0.0018,0.00018
-0.011907,0.010017,0,0.019968,0.00122,9.2486e-06,0.37181,1,0.0026937,0.0019,0.0019,0.00019
-0.015678,0.014042,0,0.023454,0.0013579,9.3721e-06,0.37178,1,0.0028355,0.002,0.002,0.0002
-0.019606,0.01822,0,0.027051,0.0015002,9.535e-06,0.37175,1,0.0029773,0.0021,0.0021,0.00021
